source_id,variable_name,variable_description,source_organisation,source_dataset_name,source_page_url,direct_download_url,api_endpoint,api_parameters,wms_layer,geocat_metadata_url,retrieval_method,retrieval_date,original_file_name,local_raw_file,processed_file,geographic_level,temporal_resolution,temporal_start,temporal_end,unit,license,access_conditions,transformation_applied,quality_notes,confidence_level,manual_verification,notes
ANNIVIERS_SCOPE_OFFICIAL,destination_scope_evidence,"Official municipal evidence that Grimentz, Zinal, Saint-Luc and Chandolin belong to Anniviers",Commune d'Anniviers,Official destination or municipal scope page,https://www.anniviers.org/fr/villages-hameaux-6.html,https://www.anniviers.org/fr/villages-hameaux-6.html,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T00:55:33.490971+00:00,ANNIVIERS_SCOPE_OFFICIAL_20260920T005533Z.html,data_external/source_evidence/ANNIVIERS_SCOPE_OFFICIAL_20260920T005533Z.html,data_processed/treatment_destination_units.csv,official destination or municipality,retrieval-date scope snapshot,,2026,scope evidence,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Manually reviewed scope statement encoded in config/treatment_destination_review.json,Current scope evidence does not by itself establish historical tourism exposure,high for stated scope; analytical mapping remains explicitly qualified,reviewed,
BERGFEX_RESORT_DIRECTORY,resort_name|region|url_station|altitude_top_m|ski_area_km|number_lifts,Existing resort-directory scrape supplied by the researcher,bergfex GmbH,Bergfex Swiss ski-resort directory,https://www.bergfex.ch/schweiz/,,,,,,Legacy region-page HTML scraping; upstream R script inspected,UNKNOWN,bergfex_stations_ski_suisse_par_region.csv,data_raw/bergfex_stations_ski_suisse_par_region.csv,data_processed/resort_master.csv,resort listing,undated snapshot,,,mixed,UNKNOWN; redistribution and reuse require review,Existing research copy; do not recollect without terms/robots review,Unique URL join to normalised listing table; no new scrape,Observation date and independent-domain semantics are unknown,medium for fields; low for temporal interpretation,schema and unique URLs checked,
BFS_HOTEL_CAPACITY_DATA,hotel_establishments_open|hotel_rooms_available|hotel_beds_available|hotel_room_occupancy_rate_pct|hotel_bed_occupancy_rate_pct,"Monthly HESTA hotel supply, demand, and occupancy in open establishments by municipality",Swiss Federal Statistical Office (FSO/OFS/BFS),px-x-1003020000_201,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1003020000_201/,,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_201/px-x-1003020000_201.px,"All 2013-2026 years, 12 months, 186 municipalities, and 8 indicators; annual-total month excluded; one POST per year",,,"PXWeb HTTP POST in 14 annual chunks; exact queries, responses, SHA-256 checksums, and logs preserved",2026-09-20T08:39:13.504956+00:00,BFS_HOTEL_CAPACITY_DATA_2013_20260920T083901Z.csv,data_external/source_evidence/BFS_HOTEL_CAPACITY_DATA_2013_20260920T083901Z.csv,data_processed/hotel_capacity_municipality_month.csv|data_processed/hotel_municipality_month_enriched.csv|data_processed/destination_month_panel.csv,municipality,monthly grid,2013-01,2026-12 grid; later months unavailable at retrieval,establishments; rooms; beds; arrivals; overnight stays; percent,See official FSO terms,Public PXWeb API; source missing and protection tokens apply,Annual chunks concatenated; literal '..' and '...' tokens preserved; numeric values parsed without imputation; exact municipality-date join to legacy demand panel,"1,974 supply rows are unavailable/protected; 59 bed-occupancy percentages exceed 100 as published; 6 demand cells in 3 Davos months differ from the legacy extraction and are reported without overwriting it",high for official source; version differences explicitly retained,"schema, checksums, grain, value bounds, and demand reconciliation checked",Fourteen raw annual response files are listed in the master metadata sidecar; local_raw_file points to the first chunk
BFS_HOTEL_CAPACITY_METADATA,capacity_table_schema|municipality_bfs_id,"Live metadata for the HESTA supply, demand, and occupancy table",Swiss Federal Statistical Office (FSO/OFS/BFS),px-x-1003020000_201 metadata,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1003020000_201/,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_201/px-x-1003020000_201.px,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_201/px-x-1003020000_201.px,GET table metadata,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T08:36:08.846339+00:00,BFS_HOTEL_CAPACITY_METADATA_20260920T083608Z.json,data_external/source_evidence/BFS_HOTEL_CAPACITY_METADATA_20260920T083608Z.json,data_processed/hotel_capacity_municipality_month.csv,municipality,metadata snapshot,2013,2026,metadata,See official FSO terms,Public PXWeb API,Dimension codes and municipality code-label pairs extracted exactly,Reference municipality universe is dated 2026-01-01; cached response anchors the schema,high,response schema and all four dimensions checked,
BFS_HOTEL_DATA,hotel_arrivals|hotel_overnights|domestic_overnights|foreign_overnights,Monthly hotel arrivals and overnight stays in open establishments by municipality and visitor origin,Swiss Federal Statistical Office (FSO/OFS/BFS),px-x-1003020000_101,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1003020000_101/,,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_101/px-x-1003020000_101.px,"All available years, months, municipalities, origins and indicators; original extraction was chunked",,,Existing researcher API extraction; construction script inspected; live metadata independently cached,UNKNOWN_FOR_EXISTING_DATA_FILE,nuitée_commune_final.csv,data_raw/nuitée_commune_final.csv,data_processed/hotel_municipality_month.csv,municipality,monthly plus annual total rows,2013-01,2026-03 observed; later 2026 grid cells suppressed/unavailable,persons (arrivals); overnight stays,See official FSO terms,Public PXWeb table; source suppression applies,Annual rows excluded from monthly panel; literal tokens preserved; nonnegative integer cells parsed; domestic/foreign split and log1p derived,"2,793 monthly total-night cells contain '...'; no imputation; municipality boundary changes still require review",high for official source; medium for legacy extraction provenance,"API metadata, row structure, suppression tokens, and annual/monthly reconciliation checked",Annual totals reconcile exactly wherever all 12 monthly observations are available
BFS_HOTEL_METADATA,hotel_table_schema|municipality_bfs_id,"Live metadata for the official hotel table, including municipality codes and labels",Swiss Federal Statistical Office (FSO/OFS/BFS),px-x-1003020000_101 metadata,https://www.pxweb.bfs.admin.ch/pxweb/fr/px-x-1003020000_101/,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_101/px-x-1003020000_101.px,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_101/px-x-1003020000_101.px,GET table metadata,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-19T23:17:13.867148+00:00,BFS_HOTEL_METADATA_20260919T231713Z.json,data_external/source_evidence/BFS_HOTEL_METADATA_20260919T231713Z.json,data_processed/resort_point_municipality.csv,municipality,metadata snapshot,2013,2026,metadata,See official FSO terms,Public PXWeb API,Municipality code-label pairs extracted without fuzzy matching,Live table composition can change; cached response is the reproducibility anchor,high,response schema and Gemeinde dimension checked,
DERIVED_MULTI_SOURCE,derived analytical fields,Project-generated fields combining multiple registered sources,Master thesis analytical pipeline,Reproducible local transformations,,,,,,,versioned Python scripts,,,,data_processed/,mixed,mixed,,,mixed,inherits source restrictions,,See formula and script references in data dictionary,Not an external source; lineage remains in source_ids and formulas,derived,automated tests plus checkpoint review,
DERIVED_REVIEWED_DESTINATION_PANEL,reviewed_destination_month_outcomes|hotel_capacity|diagnostic_membership_status,Monthly destination outcomes and hotel capacity aggregated across reviewed municipality scopes with diagnostic treatment coding,Master thesis analytical pipeline,Reviewed destination-month panel,,,,,,,versioned Python transformation,,,,data_processed/destination_month_panel.csv,reviewed destination unit,monthly,2013-01,2026-12 grid; 2026-03 latest observed outcome,destination-month,inherits source restrictions,,Additive municipality outcome and capacity totals; missing unless every municipality is observed; official occupancy percentages retained only for single-municipality units; entry carried forward only as a flagged diagnostic assumption,No row is causal-ready; treatment continuity and controls remain unresolved and other time-varying confounders are pending,high for reproducible aggregation; low for causal treatment status,automated tests plus destination review,
DESTINATION_SCOPE_OFFICIAL_SET,destination_unit_scope|municipality_outcome_scope,Reviewed union of official municipality and lift-operator scope evidence,Municipalities and official lift operators,Destination scope evidence set,,,,,,,Derived from individually registered official pages and geo.admin.ch point containment,,,,data_processed/treatment_destination_units.csv|data_processed/treatment_destination_municipality.csv,reviewed destination and municipality,scope snapshot,,2026,review decision,,,Explicit inclusion/exclusion decisions and additive municipality outcome weights,Core-municipality proxies are labelled separately from complete observed municipal scope,reviewed analytical decision,reviewed,Does not approve causal treatment status
EVOLENE_SCOPE_OFFICIAL,destination_scope_evidence,"Official municipal evidence that Evolène, La Forclaz and Arolla belong to the same municipality",Commune d'Evolène,Official destination or municipal scope page,https://www.commune-evolene.ch/fr/villages-35.html,https://www.commune-evolene.ch/fr/villages-35.html,,,,,HTTP GET with immutable response and SHA-256 sidecar,2026-09-20T00:55:34.825822+00:00,EVOLENE_SCOPE_OFFICIAL_20260920T005534Z.html,data_external/source_evidence/EVOLENE_SCOPE_OFFICIAL_20260920T005534Z.html,data_processed/treatment_destination_units.csv,official destination or municipality,retrieval-date scope snapshot,,2026,scope evidence,UNKNOWN; preserve citation and original URL,Public official website; automated retrieval respects robots.txt,Manually reviewed scope statement encoded in config/treatment_destination_review.json,Current scope evidence does not by itself establish historical tourism exposure,high for stated scope; analytical mapping remains explicitly qualified,reviewed,
