event_id,source_id,source_resort_name,entry_season,source_date,source_page,event_type,entry_date_exact,date_precision,notes,candidate_resort_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,exact_label_candidate_ids,treatment_ready,treatment_blocker,exit_date,resort_name_canonical,cluster_id,assignment_quality,identity_status,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,relationship_type
MAGIC_EVENT_473325b425bc,MAGIC_2017,Anzère,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,anzere,unique_normalised_label,candidate_match_scope_pending,medium,anzere,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Anzère,SKI_CLUSTER_020,confident,provisional_existing_listing_not_independent_domain,6082,Ayent,,False,coordinate_container_only
MAGIC_EVENT_8f27d400ec6d,MAGIC_2017,Charmey,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,charmey,unique_normalised_label,candidate_match_scope_pending,medium,charmey,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Charmey,SKI_CLUSTER_091,confident,provisional_existing_listing_not_independent_domain,2163,Val-de-Charmey,,False,coordinate_container_only
MAGIC_EVENT_4b7d19ebb1a4,MAGIC_2017,Château-d'Oex,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_75f74c14a850,MAGIC_2017,Crans-Montana,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,crans_montana_crans_montana,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Crans - Montana Crans - Montana,SKI_CLUSTER_020,confident,provisional_existing_listing_not_independent_domain,6253,Crans-Montana,Crans-Montana,True,coordinate_container_only
MAGIC_EVENT_0ac41061a20c,MAGIC_2017,Crêt-du-Puy,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,le_paquier_cret_du_puy,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Le Pâquier Crêt - du - Puy,SKI_CLUSTER_042,confident,provisional_existing_listing_not_independent_domain,6487,Val-de-Ruz,,False,coordinate_container_only
MAGIC_EVENT_a4524acb26d7,MAGIC_2017,Glacier 3000,2017/2018,2017-04-11,3;6;8,paid_supplement,UNKNOWN,season,"Explicit paid supplement, excluded from base-pass founding treatment.",,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_3a560eaae2a2,MAGIC_2017,Grimentz-Zinal,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,grimentz_zinal_grimentz_zinal,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Grimentz/Zinal Grimentz - Zinal,SKI_CLUSTER_028,confident,provisional_existing_listing_not_independent_domain,6252,Anniviers,Anniviers,True,coordinate_container_only
MAGIC_EVENT_f108b4eda63e,MAGIC_2017,Jaun,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,jaun_gastlosen,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Jaun Gastlosen,SKI_CLUSTER_092,confident,provisional_existing_listing_not_independent_domain,2138,Jaun,,False,coordinate_container_only
MAGIC_EVENT_8091a175053c,MAGIC_2017,La Berra,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,la_berra_la_roche,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,La Berra - La Roche,SKI_CLUSTER_069,confident,provisional_existing_listing_not_independent_domain,2149,La Roche,,False,coordinate_container_only
MAGIC_EVENT_1a5fd29b268f,MAGIC_2017,La Lécherette,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_a5e82fa85a2e,MAGIC_2017,Les Bugnenets-Savagnières,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,les_bugnenets_savagnieres,reviewed_alias,candidate_match_scope_pending,medium,les_bugnenets_savagnieres,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Les Bugnenets - Savagnières,SKI_CLUSTER_042,confident,provisional_existing_listing_not_independent_domain,443,Saint-Imier,,False,coordinate_container_only
MAGIC_EVENT_7a15946fa16d,MAGIC_2017,Les Diablerets,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_3a25c20a1c82,MAGIC_2017,Les Marécottes,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,les_marecottes,unique_normalised_label,candidate_match_scope_pending,medium,les_marecottes,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Les Marécottes,SKI_CLUSTER_103,confident,provisional_existing_listing_not_independent_domain,6218,Salvan,,False,coordinate_container_only
MAGIC_EVENT_ffcbfc0dc884,MAGIC_2017,Les Mosses,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_2e2efd45030d,MAGIC_2017,Les Paccots,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,les_paccots_chatel_saint_denis,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Les Paccots - Châtel Saint Denis,SKI_CLUSTER_023,confident,provisional_existing_listing_not_independent_domain,2325,Châtel-Saint-Denis,,False,coordinate_container_only
MAGIC_EVENT_6682d8e383d4,MAGIC_2017,Leysin,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_98c0c64310c6,MAGIC_2017,Mayens de Conthey,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,,no_candidate,unresolved,low,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,,,,,,,,,
MAGIC_EVENT_48cf85b2c432,MAGIC_2017,Moléson,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,moleson_la_gruyere,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Moléson - La Gruyère,SKI_CLUSTER_023,confident,provisional_existing_listing_not_independent_domain,2135,Gruyères,Gruyères,True,coordinate_container_only
MAGIC_EVENT_8761ddafe11a,MAGIC_2017,Nax,2017/2018,2017-04-11,6;8,base_pass_entry,UNKNOWN,season,Entry-season evidence; does not establish continuous membership or a municipality exposure.,mont_noble_nax,reviewed_alias,candidate_match_scope_pending,medium,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved",,Mont - Noble Nax,SKI_CLUSTER_071,confident,provisional_existing_listing_not_independent_domain,6090,Mont-Noble,,False,coordinate_container_only
