ski_id,ski_name,commune,region,region_bergfex,lat,lon,cluster_id,cluster_display_name,distance_m,second_cluster_id,second_distance_m,name_match_score,second_name_match_score,expected_lifts_total,cluster_lift_count,assignment_quality,assignment_uncertain,assignment_uncertainty_reasons,assignment_review_reasons,assignment_warning_reasons,assignment_info_flags,geocode_status,needs_manual_check,url_station
gurten_bern,Gurten Bern,,Berne et région,Bern & Region Bern,46.918543,7.440187,SKI_CLUSTER_051,Schwarzenbühl Selital / Gantrisch - Gurnigel / Ottenleuebad +3,17678.6,SKI_CLUSTER_109,19942.6,0.0,0.0,1.0,8,review,True,very_far_from_cluster|low_distance_ratio,very_far_from_cluster,low_distance_ratio,,ok_strict,FAUX,https://www.bergfex.ch/gurten/
rossa,Rossa,,Grisons,Graubünden,46.372306,9.128048,SKI_CLUSTER_147,Rossa,5785.8,SKI_CLUSTER_067,8838.3,0.0,0.0,2.0,2,warning,True,far_from_cluster,,far_from_cluster,,ok_strict,FAUX,https://www.bergfex.ch/rossa/
brot_plamboz,Brot - Plamboz,,Jura & Trois-Lacs,Jura & Drei-Seen-Land,46.971794,6.742194,SKI_CLUSTER_157,Sommartel Le Locle / Brot - Plamboz,6260.7,SKI_CLUSTER_158,9182.4,0.0,0.0,1.0,1,warning,True,far_from_cluster,,far_from_cluster,,ok_strict,FAUX,https://www.bergfex.ch/brot-plamboz/
la_brevine,La Brévine,,Jura & Trois-Lacs,Jura & Drei-Seen-Land,46.978921,6.604262,SKI_CLUSTER_102,La Robella / La Brévine,11064.6,SKI_CLUSTER_157,12338.9,0.0,0.0,1.0,3,review,True,very_far_from_cluster|low_distance_ratio,very_far_from_cluster,low_distance_ratio,,ok_strict,FAUX,https://www.bergfex.ch/la-brevine/
saint_imier_mont_soleil,Saint - Imier - Mont Soleil,,Jura & Trois-Lacs,Jura & Drei-Seen-Land,47.154704,6.994514,SKI_CLUSTER_161,Saint - Imier - Mont Soleil,78.8,SKI_CLUSTER_042,3309.3,0.0,0.0,7.0,1,warning,True,cluster_has_fewer_lifts_than_bergfex,,cluster_has_fewer_lifts_than_bergfex,,ok_strict,FAUX,https://www.bergfex.ch/saint-imier-mont-soleil/
eriz,Eriz,,Oberland bernois,Berner Oberland,46.781343,7.825141,SKI_CLUSTER_138,Eriz,56.6,SKI_CLUSTER_074,4766.3,0.0,0.0,7.0,2,warning,True,cluster_has_fewer_lifts_than_bergfex,,cluster_has_fewer_lifts_than_bergfex,,ok_strict,FAUX,https://www.bergfex.ch/eriz/
egg_hallau,Egg Hallau,,Suisse orientale,Ostschweiz,47.699047,8.438873,SKI_CLUSTER_200,Regensberg - Im Buck / Röhrenmoos Dietikon / Egg Hallau +1,24812.5,SKI_CLUSTER_203,43336.2,0.0,0.0,1.0,1,review,True,very_far_from_cluster,very_far_from_cluster,,,ok_strict,FAUX,https://www.bergfex.ch/egg-hallau/
opfershofen_skilift_stich_opfertshofen,Opfershofen Skilift Stich / Opfertshofen,,Suisse orientale,Ostschweiz,47.773517,8.657243,SKI_CLUSTER_200,Regensberg - Im Buck / Röhrenmoos Dietikon / Egg Hallau +1,37204.2,SKI_CLUSTER_145,46239.6,0.0,0.0,1.0,1,review,True,very_far_from_cluster|low_distance_ratio,very_far_from_cluster,low_distance_ratio,,ok_strict,FAUX,https://www.bergfex.ch/stich-opfertshofen/
tannenberg_skiarena_tannenberg_waldkirch,Tannenberg Skiarena Tannenberg / Waldkirch,,Suisse orientale,Ostschweiz,47.453682,9.302073,SKI_CLUSTER_232,Tannenberg Skiarena Tannenberg / Waldkirch,7318.9,SKI_CLUSTER_233,10775.1,0.0,0.0,1.0,1,warning,True,far_from_cluster,,far_from_cluster,,ok_strict,FAUX,https://www.bergfex.ch/skiarena-tannenberg/
piano_di_peccia,Piano di Peccia,,Tessin,Tessin,46.410422,8.610607,SKI_CLUSTER_205,Mogno / Piano di Peccia,4325.7,SKI_CLUSTER_059,10195.3,0.0,0.0,2.0,1,warning,True,far_from_cluster,,far_from_cluster,,ok_strict,FAUX,https://www.bergfex.ch/piano-di-peccia/
dicki_weisslingen,Dicki - Weisslingen,,Zurich et région,Zürich & Zürich Region,47.434103,8.760052,SKI_CLUSTER_210,Sternenberg / Sitzberg / Schafbüel - Wildberg +1,12658.4,SKI_CLUSTER_065,13063.2,0.0,0.0,1.0,1,review,True,very_far_from_cluster|nearby_second_cluster,very_far_from_cluster,nearby_second_cluster,,ok_strict,FAUX,https://www.bergfex.ch/dicki-weisslingen/
rohrenmoos_dietikon,Röhrenmoos Dietikon,,Zurich et région,Zürich & Zürich Region,47.400898,8.380101,SKI_CLUSTER_200,Regensberg - Im Buck / Röhrenmoos Dietikon / Egg Hallau +1,8914.6,SKI_CLUSTER_203,13938.4,0.0,0.0,1.0,1,review,True,very_far_from_cluster,very_far_from_cluster,,,ok_strict,FAUX,https://www.bergfex.ch/roehrenmoos-dietikon/
schafbuel_wildberg,Schafbüel - Wildberg,,Zurich et région,Zürich & Zürich Region,47.421584,8.81537,SKI_CLUSTER_210,Sternenberg / Sitzberg / Schafbüel - Wildberg +1,8301.7,SKI_CLUSTER_065,9801.6,0.0,0.0,1.0,1,review,True,very_far_from_cluster|low_distance_ratio,very_far_from_cluster,low_distance_ratio,,ok_strict,FAUX,https://www.bergfex.ch/schafbuel-wildberg/
sitzberg,Sitzberg,,Zurich et région,Zürich & Zürich Region,47.426313,8.913517,SKI_CLUSTER_210,Sternenberg / Sitzberg / Schafbüel - Wildberg +1,4476.9,SKI_CLUSTER_145,5294.4,0.0,0.0,1.0,1,warning,True,far_from_cluster|nearby_second_cluster,,far_from_cluster|nearby_second_cluster,,ok_strict,FAUX,https://www.bergfex.ch/sitzberg/
