destination_unit_id,destination_name,component_resort_ids,entry_labels,component_resort_count,entry_event_count,municipality_count,municipality_bfs_ids,municipality_names,first_entry_season,first_analysis_anchor,anchor_precision,documented_exit_date,scope_review_status,eligible_for_reviewed_outcome_panel,required_scope,missing_outcome_scope,weighting_scheme,scope_source_ids,membership_continuity_status,causal_treatment_unit_approved,causal_blocker,review_note,observed_pre_months,observed_active_post_months_assumption,has_24_observed_pre_months,has_36_observed_pre_months,has_24_active_post_months_assumption,has_36_active_post_months_assumption
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,grimentz_zinal_grimentz_zinal|st_luc_chandolin,Grimentz-Zinal|St-Luc / Chandolin,2,2,1,6252,Anniviers,2017/2018,2017-11-01,exact_product_validity_date,,approved_complete_observed_municipal_scope,True,both same-season entry labels are localities in Anniviers,none at municipality level,additive_municipality_total,ANNIVIERS_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.",Two announcements collapse to one municipality-level treatment; they must not be counted as independent treated observations.,58,99,True,True,True,True
axalp,Axalp,axalp_brienz,Axalp,1,1,1,573,Brienz (BE),2022/2023,2022-05-01,analytical_month_anchor,,approved_core_municipality_proxy,True,core municipality containing the named resort listing,none for the core proxy,additive_municipality_total,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2022,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","The municipality outcome is a core lodging-market proxy, not a complete visitor catchment.",112,47,True,True,True,True
bumbach,Bumbach,bumbach_schangnau,Bumbach,1,1,1,906,Schangnau,2023/2024,2023-05-01,analytical_month_anchor,,approved_core_municipality_proxy,True,core municipality containing the named resort listing,none for the core proxy,additive_municipality_total,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2023,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","The municipality outcome is a core lodging-market proxy, not a complete visitor catchment.",122,35,True,True,True,False
crans_montana,Crans-Montana,crans_montana_crans_montana,Crans-Montana,1,1,1,6253,Crans-Montana,2017/2018,2017-11-01,exact_product_validity_date,2020-04-30,approved_core_municipality_proxy,True,core municipality containing the named resort listing,none for the core proxy,additive_municipality_total,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017|MAGIC_PRESS_ARCHIVE,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","Exit is documented. The current municipality begins in 2017, leaving no comparable pre-treatment history under the same boundary.",10,30,False,False,True,False
espace_dent_blanche,Espace Dent Blanche,arolla|evolene|la_forclaz,Arolla|Evolène|La Forclaz,3,3,1,6083,Evolène,2018/2019,2018-05-01,analytical_month_anchor,,approved_complete_observed_municipal_scope,True,"Arolla, Evolène and La Forclaz are villages in the municipality of Evolène",none at municipality level,additive_municipality_total,EVOLENE_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2018,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.",Three component announcements collapse to one municipality-level treatment.,64,93,True,True,True,True
gstaad_operator_domain,Bergbahnen Destination Gstaad,gstaad,Bergbahnen Gstaad,1,1,1,843,Saanen,2025/2026,2025-05-01,exact_operator_membership_date,,excluded_incomplete_composite_outcome_scope,False,"operator access points in Saanen, Rougemont, Zweisimmen and St. Stephan",only Saanen is present in the supplied OFS hotel municipality panel,additive_municipality_total,GSTAAD_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2025|MAGIC_PRESS_ARCHIVE,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.",The operator domain crosses municipalities; a Saanen-only outcome is incomplete and excluded.,,,False,False,False,False
les_pleiades,Les Pléiades,les_pleiades,Les Pléiades,1,1,1,5892,Blonay - Saint-Légier,2018/2019,2018-05-01,analytical_month_anchor,,approved_core_municipality_proxy,True,core municipality containing the named resort listing,none for the core proxy,additive_municipality_total,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2018,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","The current merged municipality begins in 2022, so it has no comparable pre-entry outcome history under the same boundary.",0,51,False,False,True,True
meiringen_hasliberg,Meiringen-Hasliberg,meiringen_hasliberg,Meiringen-Hasliberg,1,1,2,783|785,Hasliberg|Meiringen,2025/2026,2025-05-01,exact_operator_membership_date,,approved_complete_observed_municipal_scope,True,official lift access points in Hasliberg and Meiringen,none at the defined two-municipality scope,additive_municipality_total,MEIRINGEN_HASLIBERG_SCOPE_OFFICIAL|MEIRINGEN_HASLIBERG_MAGIC_OFFICIAL|MAGIC_2025,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.",The two municipality totals are summed without normalising weights; post-entry follow-up is short.,146,11,True,True,False,False
moleson,Moléson,moleson_la_gruyere,Moléson,1,1,1,2135,Gruyères,2017/2018,2017-11-01,exact_product_validity_date,,approved_core_municipality_proxy,True,core municipality containing the named resort listing,none for the core proxy,additive_municipality_total,GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2017,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","The municipality outcome is a core lodging-market proxy, not a complete visitor catchment.",58,99,True,True,True,True
reichenbach_magic_portfolio,Reichenbach im Kandertal Magic Pass portfolio,faltschen_reichenbach_im_kandertal|kiental,Faltschen|Kiental,2,2,1,567,Reichenbach im Kandertal,2022/2023,2022-05-01,analytical_month_anchor,,approved_complete_observed_municipal_scope,True,Faltschen and Kiental are localities in Reichenbach im Kandertal,none at municipality level,additive_municipality_total,REICHENBACH_SCOPE_OFFICIAL|GEOADMIN_MUNICIPALITY_IDENTIFY|MAGIC_2022|MAGIC_2023,not_fully_audited,False,"Historical continuity, untreated-control status, confounding, and spillovers are not all approved.","Faltschen enters in 2022/23 and Kiental in 2023/24; the latter is coded as an exposure-intensity increase, not a second independent municipality.",110,47,True,True,True,True
